c1.cui	c1.name	c1.cui	c1.name	c1.diseaseClassName	c1.STY	c1.cui	c1.name	c2.geneId	c2.name	c2.geneId	c2.name	c2.uniprotId	c2.description	c2.pathName	c2.pantherName	c2.geneId	c2.name	c0.score	c0.diseaseId	c0.score	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.pmids
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	2784	GNB3	2784	GNB3	P16520	guanine nucleotide binding protein (G protein), beta polypeptide 3	Hemostasis; Metabolism; Neuronal System; Signal Transduction; Transmembrane transport of small molecules	enzyme modulator; hydrolase	2784	GNB3	0.00719844096414613	umls:C0085159	0.00719844096414613	2784	0.00719844096414613	umls:C0085159	2784	0.00719844096414613	umls:C0085159	2784	0.00719844096414613	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	3356	HTR2A	3356	HTR2A	P28223	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled	Signal Transduction	receptor	3356	HTR2A	0.00583840744821357	umls:C0085159	0.00583840744821357	3356	0.00583840744821357	umls:C0085159	3356	0.00583840744821357	umls:C0085159	3356	0.00583840744821357	9
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	5663	PSEN1	5663	PSEN1	P49768	presenilin 1	Extracellular matrix organization	signaling molecule; calcium-binding protein; protease; hydrolase	5663	PSEN1	0.00417981567012895	umls:C0085159	0.00417981567012895	5663	0.00417981567012895	umls:C0085159	5663	0.00417981567012895	umls:C0085159	5663	0.00417981567012895	14
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	348	APOE	348	APOE	P02649	apolipoprotein E	Binding and Uptake of Ligands by Scavenger Receptors; Disease; Metabolism; Signal Transduction	null	348	APOE	0.00417981567012895	umls:C0085159	0.00417981567012895	348	0.00417981567012895	umls:C0085159	348	0.00417981567012895	umls:C0085159	348	0.00417981567012895	14
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	6532	SLC6A4	6532	SLC6A4	P31645	solute carrier family 6 (neurotransmitter transporter), member 4	null	transporter	6532	SLC6A4	0.00388125740797688	umls:C0085159	0.00388125740797688	6532	0.00388125740797688	umls:C0085159	6532	0.00388125740797688	umls:C0085159	6532	0.00388125740797688	13
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	675	BRCA2	675	BRCA2	P51587	breast cancer 2, early onset	Cell Cycle; DNA Repair	nucleic acid binding	675	BRCA2	0.00358269914582481	umls:C0085159	0.00358269914582481	675	0.00358269914582481	umls:C0085159	675	0.00358269914582481	umls:C0085159	675	0.00358269914582481	12
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	2177	FANCD2	2177	FANCD2	Q9BXW9	Fanconi anemia, complementation group D2	DNA Repair	null	2177	FANCD2	0.00358269914582481	umls:C0085159	0.00358269914582481	2177	0.00358269914582481	umls:C0085159	2177	0.00358269914582481	umls:C0085159	2177	0.00358269914582481	12
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	4862	NPAS2	4862	NPAS2	Q99743	neuronal PAS domain protein 2	Circadian Clock; Metabolism	transcription factor	4862	NPAS2	0.00341424927329665	umls:C0085159	0.00341424927329665	4862	0.00341424927329665	umls:C0085159	4862	0.00341424927329665	umls:C0085159	4862	0.00341424927329665	4
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	351	APP	351	APP	P05067	amyloid beta (A4) precursor protein	Disease; Extracellular matrix organization; Hemostasis; Immune System; Signal Transduction	signaling molecule	351	APP	0.00179134957291241	umls:C0085159	0.00179134957291241	351	0.00179134957291241	umls:C0085159	351	0.00179134957291241	umls:C0085159	351	0.00179134957291241	6
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	1815	DRD4	1815	DRD4	P21917	dopamine receptor D4	Signal Transduction	receptor	1815	DRD4	0.00119423304860827	umls:C0085159	0.00119423304860827	1815	0.00119423304860827	umls:C0085159	1815	0.00119423304860827	umls:C0085159	1815	0.00119423304860827	4
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	5664	PSEN2	5664	PSEN2	P49810	presenilin 2 (Alzheimer disease 4)	Disease; Signal Transduction	signaling molecule; calcium-binding protein; protease; hydrolase	5664	PSEN2	0.00119423304860827	umls:C0085159	0.00119423304860827	5664	0.00119423304860827	umls:C0085159	5664	0.00119423304860827	umls:C0085159	5664	0.00119423304860827	4
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	3416	IDE	3416	IDE	P14735	insulin-degrading enzyme	null	protease; hydrolase	3416	IDE	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	3416	5.97116524304135E-4	umls:C0085159	3416	5.97116524304135E-4	umls:C0085159	3416	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	3569	IL6	3569	IL6	P05231	interleukin 6 (interferon, beta 2)	Cellular responses to stress; Immune System	signaling molecule	3569	IL6	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	3569	5.97116524304135E-4	umls:C0085159	3569	5.97116524304135E-4	umls:C0085159	3569	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	338399	TAS2R62P	338399	TAS2R62P	null	taste receptor, type 2, member 62, pseudogene	null	null	338399	TAS2R62P	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	338399	5.97116524304135E-4	umls:C0085159	338399	5.97116524304135E-4	umls:C0085159	338399	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	4311	MME	4311	MME	P08473	membrane metallo-endopeptidase	Metabolism of proteins	protease; hydrolase	4311	MME	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	4311	5.97116524304135E-4	umls:C0085159	4311	5.97116524304135E-4	umls:C0085159	4311	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	94233	OPN4	94233	OPN4	Q9UHM6	opsin 4	Signal Transduction	receptor	94233	OPN4	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	94233	5.97116524304135E-4	umls:C0085159	94233	5.97116524304135E-4	umls:C0085159	94233	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	5621	PRNP	5621	PRNP	F7VJQ1;P04156	prion protein	Developmental Biology	null	5621	PRNP	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	5621	5.97116524304135E-4	umls:C0085159	5621	5.97116524304135E-4	umls:C0085159	5621	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	2937	GSS	2937	GSS	P48637	glutathione synthetase	Metabolism	ligase	2937	GSS	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	2937	5.97116524304135E-4	umls:C0085159	2937	5.97116524304135E-4	umls:C0085159	2937	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	27319	BHLHE22	27319	BHLHE22	Q8NFJ8	basic helix-loop-helix family, member e22	null	transcription factor; nucleic acid binding	27319	BHLHE22	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	27319	5.97116524304135E-4	umls:C0085159	27319	5.97116524304135E-4	umls:C0085159	27319	5.97116524304135E-4	2
C0085159	Seasonal Affective Disorder	C0085159	Seasonal Affective Disorder	Mental Disorders	Mental or Behavioral Dysfunction	C0085159	Seasonal Affective Disorder	8863	PER3	8863	PER3	P56645	period circadian clock 3	null	transcription factor	8863	PER3	5.97116524304135E-4	umls:C0085159	5.97116524304135E-4	8863	5.97116524304135E-4	umls:C0085159	8863	5.97116524304135E-4	umls:C0085159	8863	5.97116524304135E-4	2
