c1.cui	c1.name	c1.cui	c1.name	c1.diseaseClassName	c1.STY	c1.cui	c1.name	c2.geneId	c2.name	c2.geneId	c2.name	c2.uniprotId	c2.description	c2.pathName	c2.pantherName	c2.geneId	c2.name	c0.score	c0.diseaseId	c0.score	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.diseaseId	c0.geneId	c0.score	c0.pmids
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	8030	CCDC6	8030	CCDC6	Q16204	coiled-coil domain containing 6	null	null	8030	CCDC6	0.322690427923557	umls:C0238463	0.322690427923557	8030	0.322690427923557	umls:C0238463	8030	0.322690427923557	umls:C0238463	8030	0.322690427923557	76
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	8031	NCOA4	8031	NCOA4	Q13772	nuclear receptor coactivator 4	null	null	8031	NCOA4	0.30716539829165	umls:C0238463	0.30716539829165	8031	0.30716539829165	umls:C0238463	8031	0.30716539829165	umls:C0238463	8031	0.30716539829165	24
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	5108	PCM1	5108	PCM1	Q15154	pericentriolar material 1	Cell Cycle	null	5108	PCM1	0.300895674786456	umls:C0238463	0.300895674786456	5108	0.300895674786456	umls:C0238463	5108	0.300895674786456	umls:C0238463	5108	0.300895674786456	3
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	8805	TRIM24	8805	TRIM24	O15164	tripartite motif containing 24	Disease	transcription factor; ligase	8805	TRIM24	0.3	umls:C0238463	0.3	8805	0.3	umls:C0238463	8805	0.3	umls:C0238463	8805	0.3	0
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	9950	GOLGA5	9950	GOLGA5	Q8TBA6	golgin A5	null	null	9950	GOLGA5	0.3	umls:C0238463	0.3	9950	0.3	umls:C0238463	9950	0.3	umls:C0238463	9950	0.3	0
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	5573	PRKAR1A	5573	PRKAR1A	P10644	protein kinase, cAMP-dependent, regulatory, type I, alpha	Disease; Hemostasis; Immune System; Metabolism; Signal Transduction; Transmembrane transport of small molecules	enzyme modulator	5573	PRKAR1A	0.3	umls:C0238463	0.3	5573	0.3	umls:C0238463	5573	0.3	umls:C0238463	5573	0.3	0
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	51592	TRIM33	51592	TRIM33	Q9UPN9	tripartite motif containing 33	Disease; Gene Expression; Signal Transduction	null	51592	TRIM33	0.3	umls:C0238463	0.3	51592	0.3	umls:C0238463	51592	0.3	umls:C0238463	51592	0.3	0
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	5979	RET	5979	RET	P07949	ret proto-oncogene	null	null	5979	RET	0.0668998827019941	umls:C0238463	0.0668998827019941	5979	0.0668998827019941	umls:C0238463	5979	0.0668998827019941	umls:C0238463	5979	0.0668998827019941	239
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	673	BRAF	673	BRAF	P15056	v-raf murine sarcoma viral oncogene homolog B	Disease; Neuronal System; Signal Transduction	transferase; kinase	673	BRAF	0.0668998827019941	umls:C0238463	0.0668998827019941	673	0.0668998827019941	umls:C0238463	673	0.0668998827019941	umls:C0238463	673	0.0668998827019941	275
C0238463	Thyroid cancer, papillary	C0238463	Thyroid cancer, papillary	Neoplasms;Endocrine System Diseases	Neoplastic Process	C0238463	Thyroid cancer, papillary	5727	PTCH1	5727	PTCH1	Q13635	patched 1	Signal Transduction	receptor	5727	PTCH1	0.0319457340502712	umls:C0238463	0.0319457340502712	5727	0.0319457340502712	umls:C0238463	5727	0.0319457340502712	umls:C0238463	5727	0.0319457340502712	107
